../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,23-NOV-2016,"Oecomys rutilus voucher TTU101025 alpha(1,3)fucosyltransferase (Fut4) gene, partial cds",1,Oecomys rutilus (red arboreal rice rat),KP778908,TTU101025,"Almendra,A.L., Rogers,D.S., Gonzolez-Cozatl,F.X. and Engstrom,M.D.",Molecular phylogenetics of the genus Handleyomys,Unpublished,"Almendra,A.L., Rogers,D.S., Gonzolez-Cozatl,F.X. and Engstrom,M.D.",Direct Submission,"Submitted (15-FEB-2015) Brigham Young university, 401 WIDB, Provo, UT 84602, USA"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Sooretamys angouya voucher TK61763 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Sooretamys angouya (Paraguayan rice rat),KP970128,TK61763,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Oryzomys palustris voucher TK91240 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Oryzomys palustris (marsh rice rat),KP970129,TK91240,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus vulpinus voucher TK66107 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus vulpinus,KP970135,TK66107,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK53507 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus sciureus (marsh rat),KP970143,TK53507,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK21608 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus sciureus (marsh rat),KP970144,TK21608,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK17512 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus sciureus (marsh rat),KP970145,TK17512,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK10175 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus sciureus (marsh rat),KP970146,TK10175,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus sciureus voucher TK17917 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus sciureus (marsh rat),KP970147,TK17917,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK64425 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970153,TK64425,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
../ftp.ncbi.nlm.nih.gov/genbank/gbrod30.seq,16-DEC-2015,"Holochilus chacarius voucher TK61107 cytochrome b (cytb) gene, partial cds; mitochondrial",1,mitochondrion Holochilus chacarius (Chaco marsh rat),KP970168,TK61107,"D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.","Molecular systematics of South American marsh rats of the genus Holochilus (Muroidea, Cricetidae, Sigmodontinae)","J. Mammal. 96 (5), 1081-1094 (2015)","D'Elia,G., Hanson,J.D., Mauldin,M.R., Teta,P. and Pardinas,U.F.J.",Direct Submission,"Submitted (16-MAR-2015) Instituto de Ciencias Ambientales y Evolutivas, Universidad Austral de Chile, Valdivia, Chile"
